"월소득 10분위별","가계수지항목별",2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4
"월소득 10분위별","가계수지항목별",전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구
"전체  평균","소득",4271911,4168865,4301979,4284972,4366070,4315385,4377301,4361723,4383813,4286962,4728905,4642311,4825037,4831061,4868667
"１분위","소득",537433,567009,562524,520454,493003,667308,572931,598779,560325,589907,714726,645024,659264,694570,691686
"２분위","소득",1181100,1239274,1302725,1267967,1162349,1395016,1308125,1355418,1258025,1341927,1568607,1470181,1426265,1556000,1568470
"３분위","소득",1866445,1923682,1991383,2004364,1856472,2084436,2039515,2085213,1978421,2054800,2309045,2207799,2204493,2333456,2371670
"４분위","소득",2473738,2536803,2670208,2624544,2502900,2689917,2687890,2691475,2625500,2676256,2985448,2852978,2879614,3014802,3066231
"５분위","소득",3150492,3202940,3351874,3279524,3146708,3344465,3345055,3271602,3265854,3324418,3639657,3512883,3564924,3715097,3740863
"６분위","소득",3898557,3893405,4096264,3988293,3884788,4030695,4051858,3985940,3971558,3996794,4398832,4242546,4340857,4466160,4506865
"７분위","소득",4746843,4689157,4860220,4810172,4792758,4876087,4858502,4827212,4846956,4733527,5279979,5092843,5231859,5368466,5373188
"８분위","소득",5713139,5584395,5788144,5803866,5822074,5835742,5908405,5833668,5893205,5646372,6305670,6131386,6265294,6505986,6533854
"９분위","소득",7238931,6939287,7116613,7132511,7577068,7155148,7375788,7288204,7523756,7055678,7864764,7638032,7856854,8006533,8088251
"10분위","소득",11881150,11102595,11262350,11405085,12408691,11063299,11619366,11666333,11905578,11414826,12208385,12617539,13808620,12634955,12736711
